Date,Open,High,Low,Close,Volume,Adj Close
2012-03-14,1346,1365.9,1339.25,1354.8,353600,1261.34
2012-03-13,1325.5,1345.95,1325.5,1339,417800,1246.63
2012-03-12,1321,1326,1296,1321.2,248500,1230.06
2012-03-09,1315,1331.2,1301.1,1318.75,216600,1211.95
2012-03-08,1322.05,1322.05,1322.05,1322.05,0,1214.98
2012-03-07,1285,1309.95,1281.5,1304.35,115400,1198.71
2012-03-06,1288.1,1314.85,1273,1292.7,401700,1188.01
2012-03-05,1330,1330,1286.6,1299.65,196300,1194.39
2012-03-02,1330,1355,1325,1338.45,571000,1230.05
2012-03-01,1305,1344,1285.35,1322.05,296500,1214.98
2012-02-29,1293,1320,1293,1306.05,607100,1200.28
2012-02-28,1266.95,1301.9,1266,1288.65,326900,1184.29
2012-02-27,1252.35,1284.95,1237.85,1258.1,623900,1156.21
2012-02-24,1294,1320,1256,1267.8,728500,1165.12
2012-02-23,1316.1,1327.6,1293,1299.3,650900,1194.07
2012-02-22,1370.75,1371,1315.9,1325.3,899300,1217.97
2012-02-21,1364.5,1380.55,1354.05,1370.75,236400,1259.74
2012-02-20,1366.45,1366.45,1366.45,1366.45,0,1255.78
2012-02-17,1353,1384.8,1336.8,1366.45,301900,1255.78
2012-02-16,1356.6,1368.9,1334,1345.4,307900,1236.44
2012-02-15,1349.5,1387.5,1341,1369.8,487200,1258.86
2012-02-14,1352.2,1370,1336.25,1339.2,227000,1230.74
2012-02-13,1346.7,1373.7,1335.5,1355.35,236500,1245.58
2012-02-10,1400,1421.75,1336.25,1347,667400,1237.91
2012-02-09,1378.9,1399,1370.3,1389.3,594800,1276.78
2012-02-08,1354.05,1393,1336.25,1384.6,684300,1272.46
2012-02-07,1341,1374,1300.1,1358.9,804000,1248.85
2012-02-06,1280,1354.9,1272.25,1334.2,787600,1226.15
2012-02-03,1260,1275,1252,1267.25,444300,1164.62
2012-02-02,1210,1264.45,1205.3,1248.85,552000,1147.71
2012-02-01,1188,1214,1188,1202,193000,1104.65
2012-01-31,1177.55,1201.8,1177,1193.2,219200,1096.57
2012-01-30,1180.1,1205,1165,1170.25,173200,1075.47
2012-01-27,1180,1207,1173.05,1191.7,437300,1095.19
2012-01-26,1173.8,1173.8,1173.8,1173.8,0,1078.74
2012-01-25,1178,1196,1167.5,1173.8,318500,1078.74
2012-01-24,1169.8,1184,1163.8,1176.75,314500,1081.45
2012-01-23,1135.1,1168,1135.1,1165.5,329200,1071.11
2012-01-20,1155,1160,1140.45,1150.05,220600,1056.91
2012-01-19,1140,1178.5,1133.5,1151.35,554300,1058.1
2012-01-18,1144,1151.8,1125.65,1130.15,167800,1038.62
2012-01-17,1113.95,1145.45,1113.95,1139.35,299800,1047.08
2012-01-16,1120.1,1126.9,1105.1,1112.85,94200,1022.72
2012-01-13,1125,1131,1113.55,1124.45,268900,1033.38
2012-01-12,1114,1128,1109.95,1120.2,198200,1029.48
2012-01-11,1115,1132.5,1106.05,1116.6,312300,1026.17
2012-01-10,1100,1125,1100,1116.05,278200,1025.66
2012-01-09,1100,1107.8,1091.5,1099.65,222500,1010.59
2012-01-06,1107.1,1114,1088,1103.1,395600,1013.76
2012-01-05,1098.2,1122.9,1082.3,1112.65,568700,1022.54
2012-01-04,1135,1140,1093.1,1104.3,419400,1014.87
2012-01-03,1141.65,1158.9,1125,1143.7,276100,1051.07
2012-01-02,1145,1145.55,1117.65,1138.85,84700,1046.62
2011-12-30,1151.35,1158.9,1132.05,1136.9,111800,1044.83
2011-12-29,1165.4,1165.4,1145.7,1151.3,237100,1058.06
2011-12-28,1175,1186,1160,1168.3,202900,1073.68
2011-12-27,1164,1180.9,1158.6,1174.65,283800,1079.52
2011-12-26,1143.85,1164,1133,1159.2,155900,1065.32
2011-12-23,1145,1162.2,1127.5,1139.05,182700,1046.8
2011-12-22,1137.15,1155,1125.15,1141.15,249400,1048.73
2011-12-21,1112,1149,1111,1139.95,295800,1047.63
2011-12-20,1131,1134.7,1084,1101.85,382400,1012.61
2011-12-19,1134.8,1141.3,1111,1129.6,247000,1038.12
2011-12-16,1133.1,1167.5,1118.15,1128.75,273100,1037.34
2011-12-15,1127.15,1147.7,1125,1140.35,331300,1048
2011-12-14,1144,1147.8,1123.2,1140.65,177200,1048.27
2011-12-13,1110,1146.85,1101.1,1136.05,163000,1044.04
2011-12-12,1177.9,1177.9,1113.1,1120.75,309900,1029.98
2011-12-09,1189.5,1198.3,1160.55,1163.8,475700,1069.55
2011-12-08,1208,1218.1,1190.5,1202.7,152300,1105.3
2011-12-07,1193.05,1230,1193.05,1218.8,198000,1120.09
2011-12-06,1204.25,1204.25,1204.25,1204.25,0,1106.72
2011-12-05,1210,1225.5,1193.3,1204.25,282100,1106.72
2011-12-02,1170.25,1219,1170,1214,411800,1115.68
2011-12-01,1164.7,1185.45,1161.25,1171.5,356000,1076.62
2011-11-30,1142.15,1152.8,1135,1144.3,263700,1051.63
2011-11-29,1186.15,1192,1148,1160.9,180600,1066.88
2011-11-28,1129,1199,1126.2,1192.75,450300,1096.15
2011-11-25,1110,1129,1097.45,1120.3,238100,1029.57
2011-11-24,1129.5,1137.95,1104.1,1114.15,350200,1023.92
2011-11-23,1134.9,1144.85,1126.1,1130.85,240800,1039.27
2011-11-22,1134.5,1150,1121.1,1142.5,156700,1049.97
2011-11-21,1145.15,1149.6,1128,1134.5,246200,1042.62
2011-11-18,1151.05,1163.7,1133,1150.5,261800,1057.32
2011-11-17,1193,1193,1151.2,1158.55,262500,1064.72
2011-11-16,1205,1209.9,1181.3,1193.35,111000,1096.7
2011-11-15,1200.15,1221.9,1200.15,1208.45,147900,1110.58
2011-11-14,1222.15,1232.95,1211,1217.1,124900,1118.53
2011-11-11,1214.85,1223.75,1191.55,1218.6,231800,1119.91
2011-11-09,1225.85,1225.85,1198.2,1207.55,318600,1109.75
2011-11-08,1224,1229.75,1211.45,1218.6,176500,1119.91
2011-11-04,1215.55,1231.75,1210.1,1223.5,304300,1124.41
2011-11-03,1180,1221.1,1176.65,1210.3,418800,1112.28
2011-11-02,1180,1195.85,1173.2,1185.65,268900,1089.63
